Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database
"Honnekeri, A., Brager, G., Dhaka, S., & Mathur, J. (2014). Comfort and adaptation in mixed-mode buildings in a hot-dry climate.",Shivraj Dhaka and Jyotirmay Mathur,2011.0,Spring,BSh,Hot semi-arid,Jaipur,India,Others,Air Conditioned,,,21.0,Male,-1.0,,no change,,no change,4.0,,,,0.38,1.2,,,,,23.3,73.9,,,,,,,,,,,,,,,,,,,31.7,no change,0.0,0.34,66.93,,,,,,,172.7,67.0,1.0,0.0,0.0,0.0,,32.5,90.6,Database 2
"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1999.0,Winter,Cfb,Temperate oceanic,London,UK,Others,Naturally Ventilated,,Mechanical Heating,,Female,-2.0,,no change,,no change,,0.1,5.0,24.84,0.65,1.2,,,,,25.7,78.2,,,,,,,,,25.3,77.5,25.5,77.9,,,,,,,38.0,no change,0.0,0.31,61.02,,,,,,,,,,,,,,11.2,52.2,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,0.0,1.0,no change,,,,0.0,5.0,25.2,0.78,1.2,,,,,23.0,73.4,,,,,,,,,,,,,23.0,73.4,,,22.9,73.2,35.4,,,0.04,7.87,,,,,,,,,,,,,,4.0,39.0,Database 2
"Jin, L., Meng, Q., Zhao, L., Zhang, Y., & Chen, L. (2013). Indoor environment and thermal comfort in rural houses in east Guangdong of China. J Civ Archit Environ Eng, 35(2), 105e12.",Yufeng Zhang,2011.0,Summer,Cfa,Humid subtropical,Chaozhou,China,Multifamily housing,Naturally Ventilated,,,,,0.0,0.0,,,,5.0,,,,0.12,1.0,,,,,29.6,85.2,,,,,,,,,29.8,85.7,,,,,,,,,,,,0.59,116.14,,,,,,,,,,,,,,11.0,51.8,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Naturally Ventilated,,Mechanical Heating,,,0.0,1.0,no change,,,,-0.4,9.0,23.84,0.52,1.1,,,,,24.1,75.3,,,,,,,,,,,,,24.7,76.5,,,24.6,76.2,25.1,,,0.03,5.91,,,,,,,,,,,,,,16.0,61.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,-1.0,1.0,no change,,,,-0.2,6.0,24.05,0.62,1.2,,,,,23.9,75.0,,,,,,,,,,,,,24.3,75.7,,,21.8,71.2,29.4,,,0.04,7.87,,,,,,,,,,,,,,16.0,61.0,Database 2
"Schiller, G. E. (1990) A comparison of measured and predicted comfort in office buildings. ASHRAE Transactions, 96(1).",Gail Schiller,1987.0,Summer,Csc,Cool-summer mediterranean,Palo Alto,USA,Office,Air Conditioned,,,,Female,2.0,,cooler,,,2.0,0.12,5.29,25.92,0.44,1.4,,,,,23.9,75.0,24.5,76.0,23.7,74.7,23.5,74.3,24.1,75.4,24.3,75.8,24.1,75.4,24.5,76.1,24.2,75.5,23.6,74.5,68.4,,,0.12,24.28,0.13,25.59,0.1,19.69,0.14,27.56,,,,,,,,,,Database 1
"Gail Brager, Gwelen Paliaga, Richard de Dear. Operable windows, personal control and occupant comfort. ASHRAE Transactions. 110(2)",Paliaga,2003.0,Winter,Csb,Warm-summer Mediterranean,Berkeley,USA,Office,Naturally Ventilated,,Mechanical Heating,,Female,1.0,1.0,cooler,0.0,more,,,,,0.65,1.2,,,,,24.0,75.2,24.0,75.2,,,,,24.1,75.4,,,,,24.2,75.6,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,Database 2
"Kwok, A.G. ""Thermal Comfort in Tropical Classrooms."" ASHRAE Trans., V. 104 (1), 1998.",Alison Kwok,1995.0,Autumn,As,Tropical dry savanna,Honolulu,USA,Classroom,Naturally Ventilated,,,16.0,Female,-1.1,1.0,no change,,no change,4,,,,0.25,1.2,,,,,,,28.1,82.6,,,,,28.0,82.4,,,27.9,82.3,27.9,82.3,,,,,65.7,,,,,0.38,75.23,,,,,,,,,,,,,,Database 1
"de Dear, R. J. and A. Auliciems (1985) ""Validation of the Predicted Mean Vote model of thermal comfort in six Australian field studies."" ASHRAE Trans., V. 91(2), pp. 452- 468.",Richard de Dear,1983.0,Summer,Cfb,Oceanic,Melbourne,Australia,Office,Air Conditioned,,,24.0,Female,2.0,,cooler,,,,-1.03,27.4,22.31,0.67,1.06,1.058020478,1.058020478,1.058020478,1.058020478,22.2,72.0,,,22.2,72.0,,,22.3,72.2,22.4,72.4,22.3,72.1,,,22.3,72.1,,,36.1,,,0.16,31.5,,,0.16,31.5,,,,,,,,,,,,Database 1
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,0.0,1.0,no change,,,,0.7,16.0,29.77,1.08,1.4,,,,,23.4,74.1,,,,,,,,,,,,,23.8,74.8,,,23.6,74.4,57.4,,,0.15,29.53,,,,,,,,,,,,,,4.0,39.0,Database 2
"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Aw,Tropical wet savanna,BrasÌ_lia,Brazil,Office,Air Conditioned,,,,,0.3,,,,,,0.2,6.0,26.18,0.52,1.5,,,,,23.7,74.7,,,,,,,,,24.6,76.2,,,,,,,,,61.7,,,0.18,35.43,,,,,,,,,,,,,,,,Database 2
"de Dear, R. J., Leow, K. G. and S. C. Foo (1991) ""Thermal comfort in the humid tropics: Field experiments in air conditioned and naturally ventilated buildings in Singapore"". International Journal of Biometeorology, Vol. 34, pp. 259-265.",Richard de Dear,1987.0,Summer,Af,Tropical rainforest,Singapore,Singapore,Office,Naturally Ventilated,,,,Male,-1.0,,,,,,-0.33,7.24,24.03,0.07,1.08,0.938566553,1.194539249,1.194539249,1.194539249,27.6,81.7,,,27.6,81.7,,,27.8,82.1,28.0,82.4,28.0,82.4,,,28.0,82.4,,,82.5,,,0.21,41.34,,,0.21,41.34,,,,,,,,,,,,Database 1
"Candido, C.M., 2010. Indoor air movement acceptability and thermal comfort in hot-humid climates.","Candido, Christhina Maria",2010.0,Winter,Am,Tropical monsoon,Maceio,Brazil,Classroom,Naturally Ventilated,,,24.0,Male,0.0,,no change,1.0,no change,,-0.2,6.0,24.27,0.3,1.2,,,,,25.7,78.2,,,,,,,25.7,78.2,,,,,26.5,79.7,,,,,57.2,,,0.15,30.18,,,,,,,172.0,63.0,,0.0,,,,25.0,77.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,0.0,1.0,no change,,,,0.2,6.0,26.17,0.9,1.2,,,,,22.9,73.1,,,,,,,,,,,,,23.5,74.3,,,23.9,75.0,29.7,,,0.01,1.97,,,,,,,,,,,,,,16.0,61.0,Database 2
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,Winter,BSh,Hot semi-arid,Hyderabad,India,Office,Mixed Mode,Naturally Ventilated,,,Female,0.0,1.0,no change,,no change,,0.6,11.0,26.62,0.63,1.0,,,,,27.5,81.5,,,,,,,,,,,,,27.3,81.1,,,,,29.0,,,0.06,11.81,,,,,,,,52.0,,,0.0,1.0,,21.6,70.9,Database 2
"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSk,Cold semi-arid,El Kef,Tunisia,Office,Naturally Ventilated,,,,,2.0,,,,,2.0,,,,,1.0,1.0,,1.0,,31.8,89.2,,,31.8,89.2,,,32.0,89.7,,,,,,,32.3,90.1,,,51.0,,,0.16,30.81,,,0.16,30.83,,,,,1.0,,,,1.0,27.0,80.6,Database 2
"de Dear, R. J. and A. Auliciems (1985) ""Validation of the Predicted Mean Vote model of thermal comfort in six Australian field studies."" ASHRAE Trans., V. 91(2), pp. 452- 468.",Richard de Dear,1983.0,Summer,Cfb,Oceanic,Melbourne,Australia,Office,Air Conditioned,,,31.0,Male,0.0,,no change,,,,0.34,7.4,26.37,0.69,1.2,1.058020478,1.194539249,1.194539249,1.348122867,24.8,76.6,,,24.8,76.6,,,25.1,77.2,25.4,77.7,25.1,77.2,,,25.1,77.2,,,34.7,,,0.09,17.72,,,0.09,17.72,,,,,,,,,,,,Database 1
"Cena, K. and de Dear, R. (1999) ""Field Study of Occupant Comfort and Office Thermal Environments In a Hot-Arid Climate"" ASHRAE Transactions, 105(2)",Krzysztof Cena,1997.0,Summer,BSh,Hot semi-arid,Kalgoorlie,Australia,Office,Air Conditioned,,,31.0,Female,0.0,1.0,no change,1.0,no change,6,0.46,9.42,27.13,0.56,1.53,1.597938144,1.597938144,1.718213058,1.202749141,24.6,76.3,24.9,76.8,24.7,76.4,24.3,75.8,24.8,76.6,24.9,76.8,24.8,76.6,25.0,77.0,24.9,76.7,24.4,75.9,42.3,,,0.15,29.2,0.18,36.02,0.13,25.79,0.13,25.79,,,,,,,,,,Database 1
"Candido, C.M., 2010. Indoor air movement acceptability and thermal comfort in hot-humid climates.","Candido, Christhina Maria",2010.0,Summer,Am,Tropical monsoon,Maceio,Brazil,Classroom,Naturally Ventilated,,,26.0,Female,0.0,,no change,1.0,more,,1.0,25.0,25.0,0.4,1.2,,,,,30.3,86.6,,,,,,,30.3,86.6,,,,,29.0,84.2,,,,,56.7,,,2.3,452.23,,,,,,,156.0,51.0,,1.0,,,,28.0,82.4,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Naturally Ventilated,,Mechanical Heating,,,-3.0,0.0,warmer,,,,-0.9,22.0,22.27,0.72,1.2,,,,,20.9,69.6,,,,,,,,,,,,,20.8,69.4,,,,,24.4,,,0.11,21.65,,,,,,,,,,,,,,4.0,39.0,Database 2
"Loveday D. L., Webb L. H., Verma P., Cook M. J., Rawal R., Vadodaria K., Cropper P., Brager G., Zhang H., Foldvary V., Arens E., Babich F., Cobb R., Ariffin R., Kaam S., Toledo L. The Role of Air Motion for Providing Thermal Comfort in Residential / Mixed Mode Buildings: Multi-partner Global Innovation Initiative (GII) Project. Proceedings of 9th Windsor Conference. (2016) Windsor, UK.",Lynda Webb,2015.0,,BSh,Hot semi-arid,Ahmedabad,India,Multifamily housing,Mixed Mode,Unknown,,50.0,Female,-1.0,,no change,,no change,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,19.67,,,,,,,,,,,,,,,,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,0.0,1.0,no change,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,25.2,77.4,,,,,,,,,,,,,,,,,,,,,,,16.0,61.0,Database 2
"Honnekeri, A. Pigman, M. C. Zhang, H. Arens, E. Fountain, M. Zhai, Y. Dutton, S. Use of adaptive actions and thermal comfort in a naturally ventilated office, Proceedings of the 13th International Conference Indoor Air (2014) Hong Kong.",Anoop Honnekeri,2012.0,Spring,Csc,Cool-summer Mediterranean,Alameda,USA,Office,Naturally Ventilated,,,,,-1.0,0.0,warmer,1.0,less,,,,,0.5,,,,,,24.6,76.3,24.6,76.3,,,,,,,,,,,,,,,,,39.2,,,,,,,,,,,,,,1.0,,,0.0,16.7,62.1,Database 2
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,Autumn,Aw,Tropical wet savanna,Chennai,India,Office,Mixed Mode,Air Conditioned,,,Male,3.0,1.0,cooler,,more,,0.2,6.0,25.92,0.62,1.0,,,,,27.0,80.6,,,,,,,,,,,,,26.6,79.9,,,,,46.0,,,0.17,33.46,,,,,,,,70.0,,,0.0,0.0,,29.7,85.5,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,2.0,1.0,cooler,,,,,,,,1.2,,,,,24.9,76.8,,,,,,,,,,,,,24.9,76.9,,,,,40.7,,,0.02,4.43,,,,,,,,,,,,,,16.0,61.0,Database 2
"Baker, N and M. Standeven. (1995) ""A Behavioural Approach to Thermal Comfort Assessment in Naturally Ventilated Buildings"". Proceedings from CIBSE National Conference, Ch 76-84.",Nick Baker,1994.0,Autumn,Csa,Hot-summer mediterranean,Athens,Greece,Office,Naturally Ventilated,,,,Female,1.0,1.0,cooler,,,,,,,0.39,1.3,,,,,30.8,87.5,,,30.8,87.5,,,30.9,87.7,31.0,87.8,31.0,87.8,,,31.0,87.8,,,,,,0.16,31.5,,,0.16,31.5,,,,,,,,,,,,Database 1
"Gail Brager, Gwelen Paliaga, Richard de Dear. Operable windows, personal control and occupant comfort. ASHRAE Transactions. 110(2)",Paliaga,2003.0,Summer,Csb,Warm-summer Mediterranean,Berkeley,USA,Office,Naturally Ventilated,,Mechanical Heating,,Male,3.0,0.0,cooler,0.0,more,,,,,0.63,1.4,,,,,29.7,85.5,29.7,85.5,,,,,29.9,85.8,,,,,30.0,86.0,,,,,,,,0.05,8.86,,,,,,,,,,,0.0,,,16.1,61.0,Database 2
"Baker, N and M. Standeven. (1995) ""A Behavioural Approach to Thermal Comfort Assessment in Naturally Ventilated Buildings"". Proceedings from CIBSE National Conference, Ch 76-84.",Nick Baker,1994.0,Autumn,Csa,Hot-summer mediterranean,Athens,Greece,Office,Naturally Ventilated,,,,Female,2.0,1.0,cooler,,,,,,,0.39,1.3,,,,,31.5,88.6,,,31.5,88.6,,,31.6,88.9,31.7,89.1,31.7,89.1,,,31.7,89.1,,,,,,0.14,27.56,,,0.14,27.56,,,,,,,,,,,,Database 1
"Schiller, G. E. (1990) A comparison of measured and predicted comfort in office buildings. ASHRAE Transactions, 96(1).",Gail Schiller,1987.0,Summer,Csc,Cool-summer mediterranean,San Francisco,USA,Office,Air Conditioned,,,,Female,1.6,,cooler,,,3.0,0.42,8.62,26.66,0.54,1.2,,,,,25.3,77.5,25.5,77.8,25.0,77.0,25.3,77.6,25.4,77.7,25.5,77.9,25.4,77.7,25.5,77.9,25.4,77.7,25.3,77.6,64.3,,,0.07,13.78,0.06,11.81,0.08,15.75,0.07,13.78,,,,,,,,,,Database 1
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,0.0,1.0,no change,,,,-0.5,9.0,23.17,0.38,1.2,,,,,23.8,74.8,,,,,,,,,,,,,23.4,74.2,,,24.0,75.1,49.8,,,0.08,15.75,,,,,,,,,,,,,,4.0,39.0,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Summer,Aw,Tropical wet savanna,Bangalore,India,Office,Air Conditioned,,,35.0,Female,0.0,1.0,cooler,,no change,5.0,0.5,10.0,26.92,0.65,1.1,,,,,25.7,78.3,25.7,78.3,,,,,,,,,,,25.6,78.1,,,,,63.2,,,0.05,9.84,0.05,9.84,,,,,157.5,47.0,,0.0,,,1.0,30.8,87.4,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Winter,Aw,Tropical wet savanna,Bangalore,India,Office,Naturally Ventilated,,,35.0,Male,1.0,0.0,warmer,,more,5.0,0.8,17.0,28.5,0.83,1.3,,,,,25.3,77.5,25.3,77.5,,,,,,,,,,,25.3,77.5,,,,,46.8,,,0.02,3.94,0.02,3.94,,,,,170.2,78.0,,0.0,,,,29.9,85.8,Database 2
"de Dear, R. J. and A. Auliciems (1985) ""Validation of the Predicted Mean Vote model of thermal comfort in six Australian field studies."" ASHRAE Trans., V. 91(2), pp. 452- 468.",Richard de Dear,1983.0,Summer,Cfb,Oceanic,Melbourne,Australia,Office,Naturally Ventilated,,,31.0,Male,1.0,,cooler,,,,-0.31,7.01,23.82,0.61,1.4,1.979522184,1.058020478,1.348122867,1.194539249,21.5,70.7,,,21.5,70.7,,,21.5,70.7,21.5,70.7,21.5,70.7,,,21.5,70.7,,,37.5,,,0.1,19.69,,,0.1,19.69,,,,,,,,,,,,Database 1
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,3.0,0.0,cooler,,,,-0.4,9.0,23.61,0.78,1.3,,,,,20.7,69.3,,,,,,,,,,,,,21.3,70.3,,,20.0,68.0,39.1,,,0.09,17.72,,,,,,,,,,,,,,16.0,61.0,Database 2
"Indraganti, Madhavi, et al. ""Adaptive model of thermal comfort for offices in hot and humid climates of India."" Building and Environment 74 (2014): 39-736.",Indraganti Madhavi,2012.0,Autumn,Aw,Tropical wet savanna,Chennai,India,Office,Mixed Mode,Naturally Ventilated,,,Male,-1.0,1.0,cooler,,more,,0.9,21.0,27.77,0.68,1.0,,,,,27.9,82.2,,,,,,,,,,,,,28.1,82.6,,,,,61.0,,,0.28,55.12,,,,,,,,66.0,,,0.0,0.0,,29.7,85.5,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Summer,Cwa,Monsoon-influenced humid subtropical,Delhi,India,Office,Air Conditioned,,,25.0,Female,-1.0,1.0,no change,,no change,6.0,0.4,9.0,27.34,0.67,1.4,,,,,23.8,74.8,23.8,74.8,,,,,,,,,,,24.2,75.6,,,,,51.0,,,0.11,21.65,0.11,21.65,,,,,154.9,53.0,,,,,1.0,30.9,87.6,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1996.0,Summer,Csa,Hot-summer Mediterranean,Midland,UK,Office,Air Conditioned,,Mechanical Heating,,,3.0,0.0,cooler,,,,,,,,1.4,,,,,22.7,72.8,,,,,,,,,,,,,24.7,76.5,,,21.5,70.7,33.8,,,0.07,13.78,,,,,,,,,,,,,,4.0,39.0,Database 2
"Teli, D., Jentsch, M. F., & James, P. A. (2012). Naturally ventilated classrooms: An assessment of existing comfort models for predicting the thermal sensation and preference of primary school children. Energy and Buildings, 53, 166-182.",Despoina Teli,2012.0,Spring,Dfb,Warm-summer humid continental,Hampshire,UK,Classroom,Naturally Ventilated,,,,,-3.0,,,,,,-0.2,6.0,24.39,0.75,1.2,,,,,21.4,70.5,,,,,,,21.6,70.9,21.8,71.2,,,,,,,,,72.3,,,0.09,17.72,,,,,,,,,,,,,,18.3,64.9,Database 2
"Honnekeri, A., Brager, G., Dhaka, S., & Mathur, J. (2014). Comfort and adaptation in mixed-mode buildings in a hot-dry climate.",Shivraj Dhaka and Jyotirmay Mathur,2011.0,Spring,BSh,Hot semi-arid,Jaipur,India,Office,Mixed Mode,Air Conditioned,,33.0,Male,0.0,,cooler,,no change,5.0,,,,0.57,1.2,,,,,21.6,70.9,,,,,,,,,,,,,,,,,,,55.8,no change,0.0,0.33,64.96,,,,,,,157.5,62.0,1.0,0.0,0.0,0.0,,38.6,101.5,Database 2
"Candido, C.M., 2010. Indoor air movement acceptability and thermal comfort in hot-humid climates.","Candido, Christhina Maria",2010.0,Winter,Am,Tropical monsoon,Maceio,Brazil,Classroom,Naturally Ventilated,,,20.0,Female,0.0,,no change,1.0,no change,,-0.3,7.0,23.8,0.3,1.2,,,,,25.7,78.2,,,,,,,25.7,78.2,,,,,26.5,79.7,,,,,57.2,,,0.19,36.42,,,,,,,164.0,64.0,,0.0,,,,25.0,77.0,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Summer,BSh,Hot semi-arid,Ahmedabad,India,Office,Naturally Ventilated,,,45.0,Male,1.0,0.0,no change,,no change,6.0,3.0,99.0,32.36,0.7,1.0,,,,,35.5,95.9,35.5,95.9,,,,,,,,,,,35.4,95.7,,,,,46.8,,,1.2,235.24,1.2,235.24,,,,,172.7,64.0,,1.0,0.0,,,29.5,85.1,Database 2
"Zhang, Y., Chen, H., & Meng, Q. (2013). Thermal comfort in buildings with split air-conditioners in hot-humid area of China. Building and Environment, 64, 213-224.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Others,Mixed Mode,Unknown,,,,0.0,0.0,,,,3.0,1.4,44.0,28.84,0.47,1.2,,,,,29.6,85.3,29.5,85.1,29.7,85.5,29.7,85.5,,,29.8,85.7,,,29.7,85.5,29.9,85.8,29.9,85.8,76.2,,,0.56,109.58,0.78,153.66,0.45,88.65,0.44,86.68,,,,,,,,22.0,72.0,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Winter,Aw,Tropical wet savanna,Bangalore,India,Office,Naturally Ventilated,,,55.0,Male,-2.0,1.0,no change,,more,5.0,1.3,40.0,30.77,0.72,1.4,,,,,28.0,82.4,28.0,82.4,,,,,,,,,,,28.1,82.6,,,,,42.0,,,0.13,24.61,0.13,24.61,,,,,167.6,73.0,,1.0,0.0,,,29.9,85.8,Database 2
"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,35.0,Male,-2.0,0.0,warmer,,no change,,-1.1,30.0,21.31,0.89,1.1,,,,,18.6,65.5,,,18.6,65.5,,,18.7,65.6,,,,,,,18.7,65.7,,,56.3,,,0.06,11.81,,,0.06,11.82,,,,,0.0,,1.0,0.0,0.0,13.0,55.0,Database 2
"Oseland, Nigel A. 1998. Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions. 104 (Part 1B): 1018-1030. Atlanta, Ga.:ASHRAE.","Oseland, Nigel A.",1995.0,Winter,Csa,Hot-summer Mediterranean,Midland,UK,Office,Naturally Ventilated,,Mechanical Heating,,,-1.0,1.0,warmer,,,,-0.2,6.0,24.79,0.75,1.2,,,,,21.0,69.8,,,,,,,,,,,,,22.7,72.9,,,22.6,72.7,35.7,,,0.1,19.69,,,,,,,,,,,,,,4.0,39.0,Database 2
"Manu, S., Shukla, Y., Rawal, R., Thomas, L. E., & de Dear, R. (2016). Field studies of thermal comfort across multiple climate zones for the subcontinent: India Model for Adaptive Comfort (IMAC). Building and Environment, 98, 55‰ÛÒ70.",Sanyogita Manu,2012.0,Summer,Cwa,Monsoon-influenced humid subtropical,Delhi,India,Office,Mixed Mode,Naturally Ventilated,,55.0,Male,3.0,0.0,warmer,,more,3.0,2.8,98.0,32.55,0.7,1.3,,,,,34.6,94.3,34.6,94.3,,,,,,,,,,,34.1,93.4,,,,,47.9,,,0.74,145.67,0.74,145.67,,,,,167.6,69.0,,1.0,0.0,,0.0,30.9,87.6,Database 2
"Kwok, A.G. ""Thermal Comfort in Tropical Classrooms."" ASHRAE Trans., V. 104 (1), 1998.",Alison Kwok,1996.0,Winter,As,Tropical dry savanna,Honolulu,USA,Classroom,Naturally Ventilated,,,17.0,Female,1.0,1.0,cooler,,more,3,,,,0.25,1.2,,,,,,,27.5,81.5,,,,,27.4,81.4,,,27.4,81.4,27.4,81.4,,,,,66.9,,,,,0.27,53.49,,,,,,,,,,,,,,Database 1
